Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2024-12-06,51.42,51.4893,50.085,50.4,50.4,200463927,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-29,51.01,51.62,50.76,51.34,51.34,122892643,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-22,49.91,50.78,49.295,50.73,50.73,181026615,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2024-11-15,49.68,50.135,49.545,49.87,49.87,233041993,2023-01-20,2025-01-19,Democratic,Republican,Democratic,Financial
2023-01-13,35.5,36.17,35.0742,36.12,35.0516,237968269,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2023-01-06,34.45,35.49,34.07,35.38,34.3335,168881235,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-12-30,34.02,34.35,33.78,34.2,33.1884,101356051,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-12-23,33.4,34.16,33.19,33.95,32.9458,156946227,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-12-16,34.55,35.9,33.3943,33.7,32.4992,312868482,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-12-09,35.66,35.72,34.45,34.53,33.2996,223766595,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-12-02,35.91,36.49,35.14,35.93,34.6498,222944022,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-11-25,35.32,36.16,35.28,36.11,34.8233,93396515,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-11-18,35.77,35.875,34.755,35.37,34.1097,203819529,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2022-11-11,34.16,36.03,33.795,35.87,34.5919,220779857,2021-01-20,2023-01-19,Democratic,Democratic,Democratic,Financial
2021-01-15,30.62,31.62,30.49,30.94,28.8991,290741762,2019-01-20,2021-01-19,Republican,Democratic,Republican,Financial
2021-01-08,29.59,31.26,28.83,30.92,28.8804,303215704,2019-01-20,2021-01-19,Republican,Democratic,Republican,Financial
2020-12-18,28.84,28.84,28.11,28.49,26.4706,227133761,2019-01-20,2021-01-19,Republican,Democratic,Republican,Financial
